Date,Open,High,Low,Close,Adj Close,Volume
2020-07-28,251.149994,251.649994,248.529999,249.050003,245.746521,9878700
2020-07-29,250.339996,254.300003,250.100006,252.449997,249.101410,11493600
2020-07-30,251.699997,253.860001,249.619995,252.740005,249.387573,7032900
2020-07-31,254.199997,254.399994,248.100006,251.020004,247.690384,12304100
2020-08-03,254.020004,260.649994,254.000000,257.940002,254.518600,11530300
2020-08-04,260.079987,262.559998,258.820007,262.200012,258.722107,10994500
2020-08-05,263.739990,265.976013,261.755005,264.910004,261.396149,10673800
2020-08-06,263.420013,265.700012,259.200012,265.679993,262.155914,10359500
2020-08-07,257.410004,257.760010,247.570007,252.100006,248.756058,22529600
2020-08-10,249.339996,251.750000,246.100006,248.130005,244.838715,13621700
2020-08-11,251.289993,252.880005,247.830002,248.419998,245.124863,10681800
2020-08-12,249.250000,256.079987,248.679993,255.190002,251.805069,11112300
2020-08-13,256.390015,256.970001,252.880005,253.720001,250.354568,8794500
2020-08-14,255.490005,255.770004,251.639999,253.970001,250.601257,7876400
2020-08-17,253.000000,257.375000,250.085007,256.959991,253.551575,9760000
2020-08-18,258.709991,261.420013,256.059998,259.200012,255.761887,13267800
2020-08-19,260.890015,261.290009,257.380005,260.589996,257.133423,14096500
2020-08-20,256.890015,258.880005,254.179993,257.970001,254.548187,21460800
2020-08-21,259.029999,267.429993,258.309998,265.799988,262.274323,25648200
2020-08-24,273.239990,276.970001,271.619995,276.019989,272.358765,22475800
2020-08-25,278.059998,289.119995,276.040009,286.000000,282.206390,27535500
2020-08-26,289.260010,292.480011,284.100006,291.959991,288.087341,19530300
2020-08-27,290.170013,290.250000,282.100006,284.170013,280.400696,14805800
2020-08-28,285.089996,289.500000,283.570007,289.000000,285.166595,9681500
2020-08-31,288.619995,289.190002,283.609985,287.029999,283.222717,13253800
2020-09-01,289.200012,298.000000,288.869995,298.000000,294.047211,13797100
2020-09-02,299.000000,299.000000,289.790009,296.070007,292.142822,12638600
2020-09-03,289.000000,290.733002,278.160004,282.500000,278.752808,16766200
2020-09-04,279.600006,283.779999,267.390015,281.390015,277.657562,15885800
2020-09-08,270.230011,273.970001,266.589996,270.019989,266.438354,12734000
2020-09-09,274.450012,275.640015,270.880005,273.149994,269.526825,9465700
2020-09-10,274.899994,277.100006,267.399994,267.549988,264.001099,10676800
2020-09-11,272.630005,274.529999,268.119995,271.609985,268.007263,9412800
2020-09-14,275.359985,276.290009,271.760010,274.100006,270.464233,7883300
2020-09-15,278.000000,279.100006,274.799988,277.959991,274.273041,8291400
2020-09-16,281.029999,283.605011,278.000000,278.140015,274.450653,9583500
2020-09-17,273.109985,275.899994,272.321014,275.720001,272.062744,8016900
2020-09-18,275.980011,277.269989,270.549988,272.410004,268.796661,11753500
2020-09-21,269.100006,274.220001,266.399994,273.820007,270.187958,9076400
2020-09-22,276.019989,276.320007,270.049988,275.290009,271.638458,9673300
2020-09-23,275.399994,277.829987,271.500000,272.950012,269.329498,7353200
2020-09-24,267.929993,271.250000,267.334015,269.730011,266.152222,9562100
2020-09-25,267.570007,271.809998,264.559998,271.089996,267.494171,11466600
2020-09-28,275.529999,278.839996,274.199005,276.010010,272.348907,8761700
2020-09-29,275.429993,279.299988,274.899994,276.929993,273.256683,7673300
2020-09-30,284.010010,295.000000,283.709991,293.980011,290.080566,24777700
2020-10-01,295.260010,295.589996,288.250000,290.049988,286.202667,16304000
2020-10-02,286.619995,291.979004,286.510010,288.170013,284.347626,11482800
2020-10-05,289.059998,290.000000,284.880005,288.269989,284.446259,17876400
2020-10-06,287.410004,296.839996,286.910004,292.390015,288.511658,15860400
2020-10-07,297.989990,299.510010,292.869995,296.500000,292.567108,16669300
2020-10-08,298.109985,302.299988,295.441010,300.540009,296.553528,15105800
2020-10-09,298.549988,302.609985,297.739990,299.739990,295.764130,11442200
2020-10-12,303.950012,309.640015,301.285004,306.339996,302.276581,14780100
2020-10-13,306.359985,310.010010,303.029999,308.779999,304.684235,10898500
2020-10-14,309.000000,309.959991,300.799988,301.040009,297.046906,15157800
2020-10-15,293.799988,299.863007,292.609985,299.459991,295.487854,9709900
2020-10-16,303.989990,310.000000,302.950012,307.309998,303.233734,12338000
2020-10-19,309.890015,313.809998,303.410004,305.290009,301.240540,14107300
2020-10-20,307.600006,311.799988,307.059998,309.809998,305.700562,8806100
2020-10-21,311.750000,314.000000,307.700012,307.970001,303.884979,11139700
2020-10-22,311.459991,311.850006,304.209991,306.279999,302.217377,8008400
2020-10-23,307.269989,310.329987,304.059998,309.920013,305.809113,6231400
2020-10-26,309.920013,315.459991,303.200012,306.869995,302.799561,9350100
2020-10-27,307.750000,319.320007,305.609985,317.140015,312.933350,13175900
2020-10-28,313.500000,313.500000,306.000000,307.940002,303.855377,13644500
2020-10-29,309.440002,315.579987,308.910004,312.559998,308.414093,11174500
2020-10-30,308.549988,310.829987,300.190002,304.690002,300.648499,14918500
